year,athlete_name,weight_class,wins,losses,record,city_from_source
2025,Bentley Sly,150,8,2,8-2,
2025,Lorenzo Alston,157,5,2,5-2,
2025,Aiden White,132,4,2,4-2,
2025,Samuel Gantt,138,4,2,4-2,
2025,Gabe Rogers,138,4,2,4-2,
2025,Eli Horton,144,4,2,4-2,
2025,Jaxon Thomas,113,3,2,3-2,
2025,Liam Myles,106,2,2,2-2,
2025,Jekai Sedgwick,126,2,2,2-2,
2025,Colt Cambruzzi,132,2,2,2-2,
2025,Cameron Massey,132,2,2,2-2,
2025,Mac Johnson,132,2,2,2-2,
2025,Connor Reece,138,2,2,2-2,
2025,Aaron Ellison,144,2,2,2-2,
2025,Cael Dunn,215,2,2,2-2,
2025,Carson Raper,106,1,2,1-2,
2025,Daniel McDermott,113,1,2,1-2,
2025,Aiden Burkholder,113,1,2,1-2,
2025,Holt Quincy,126,1,2,1-2,
2025,Ayden Sumners,126,1,2,1-2,
2025,Gael Guerrero,132,1,2,1-2,
2025,Tiaj Thao,132,1,2,1-2,
2025,Gavin Smith,138,1,2,1-2,
2025,Aidan Szewczyk,138,1,2,1-2,
2025,Jake Amiott,144,1,2,1-2,
2025,Austin Laws,144,1,2,1-2,
2025,Nicholas Arado,144,1,2,1-2,
2025,James Campos,144,1,2,1-2,
2025,Tyton Kostoff,144,1,2,1-2,
2025,Royce Espinoza,150,1,2,1-2,
2025,Khalif Rhodes,150,1,2,1-2,
2025,Samuel McQueen,150,1,2,1-2,
2025,Christopher Aparicio,157,1,2,1-2,
2025,Jake McCord,157,1,2,1-2,
2025,Carson Worrick,157,1,2,1-2,
2025,Kavan Wilson,165,1,2,1-2,
2025,Dominic Blue,165,1,2,1-2,
2025,Michael Mauro,165,1,2,1-2,
2025,Jacob Hillis,175,1,2,1-2,
2025,Jacob Reigel,175,1,2,1-2,
2025,Dominic Hittepole,190,1,2,1-2,
2025,Sam Harper,190,1,2,1-2,
2025,Keyshon Morrison,215,1,2,1-2,
2025,Avery Rhymer,215,1,2,1-2,
2025,Jake Geist,106,0,2,0-2,
2025,Kellen Gue,106,0,2,0-2,
2025,Christopher Thomas,106,0,2,0-2,
2025,Lennon Ogden,106,0,2,0-2,
2025,Sam Boltes,113,0,2,0-2,
2025,Aiden Gallegos,113,0,2,0-2,
2025,Sander Tran,113,0,2,0-2,
2025,Denzel Benton,113,0,2,0-2,
2025,Ryder Menard,113,0,2,0-2,
2025,Alexander Moody,113,0,2,0-2,
2025,Matthew Akins,120,0,2,0-2,
2025,Anthony Barney,120,0,2,0-2,
2025,Dino Lambos,120,0,2,0-2,
2025,Adrian Feliciano,120,0,2,0-2,
2025,Kaiden Dahle,126,0,2,0-2,
2025,Liam McConaughy,126,0,2,0-2,
2025,Gabriel Jones,126,0,2,0-2,
2025,Jordan Miller,126,0,2,0-2,
2025,Gavin Castillo,132,0,2,0-2,
2025,Garrison Raper,132,0,2,0-2,
2025,Cameron Gue,132,0,2,0-2,
2025,Jesse Farnsworth,132,0,2,0-2,
2025,Josh Brezac,138,0,2,0-2,
2025,Tye Johnson,138,0,2,0-2,
2025,Landon Kemp,138,0,2,0-2,
2025,Alexander May,144,0,2,0-2,
2025,Jacob Perry,150,0,2,0-2,
2025,Roger Manus,150,0,2,0-2,
2025,Travis Nobles,157,0,2,0-2,
2025,Campbell Tufts-Piercy,157,0,2,0-2,
2025,Joshua Stonebraker,157,0,2,0-2,
2025,Cainan Williams,157,0,2,0-2,
2025,Vincent Grack,157,0,2,0-2,
2025,Benjamin Zeren,157,0,2,0-2,
2025,Tobin McNair,157,0,2,0-2,
2025,Seth Downing,165,0,2,0-2,
2025,Thomas Gingerich,165,0,2,0-2,
2025,Carson Owens,175,0,2,0-2,
2025,Gavin Gholami,175,0,2,0-2,
2025,Fares Alkurdasi,175,0,2,0-2,
2025,Cameron Perryman,175,0,2,0-2,
2025,Andrew Meadows,175,0,2,0-2,
2025,Deyari El-Amin,190,0,2,0-2,
2025,Logan Mumy,190,0,2,0-2,
2025,Brieon Mayfield,190,0,2,0-2,
2025,Gavin Lopez,215,0,2,0-2,
2025,Zack Knott,285,0,2,0-2,
