year,athlete_name,weight_class,wins,losses,record,city_from_source
2022,Cooper Foster,106,1,2,1-2,Newland
2022,Elijah Dorsey,106,0,2,0-2,Greensboro
2022,Samuel Aponte,106,0,2,0-2,Fayetteville
2022,Grant Mccord,106,0,2,0-2,Greensboro
2022,Aiden Rodriguez,106,0,2,0-2,Greensboro
2022,Colton Lewis,106,0,2,0-2,Tarboro
2022,Eli Horton,106,0,2,0-2,Eden
2022,Cameron Stinson,113,3,2,3-2,Charlotte
2022,Brad Yokum,113,2,2,2-2,Greensboro
2022,Caleb Haynes,113,0,2,0-2,Dallas
2022,Kane Bryson,113,0,2,0-2,Canton
2022,Mark Brown iii,113,0,2,0-2,Dunn
2022,Isaac Sheehan,120,3,2,3-2,Jamestown
2022,Bentley Sly,120,1,2,1-2,Cramerton
2022,Noah Murray,120,0,2,0-2,Mooresville
2022,Kaden Simpson,120,0,2,0-2,Davidson
2022,Damon Landreth,126,3,2,3-2,Hendersonville
2022,Charlie Sly,126,3,2,3-2,Cramerton
2022,Boedi Kirkland,126,2,2,2-2,Catawba
2022,Cooper Davis,126,1,2,1-2,Davidson
2022,Kenneth Pritz,126,1,2,1-2,Newland
2022,Charleston Baglio,126,1,2,1-2,Midland
2022,Benjamin Jordan,126,1,2,1-2,Newland
2022,Eli Pendergrass,126,0,2,0-2,Belews Creek
2022,Tiaj Thao,126,0,2,0-2,Nebo
2022,Rayshun James,126,0,2,0-2,Julian
2022,Aldo Hernandez,132,4,2,4-2,Star
2022,William Gibson,132,2,2,2-2,Stokesdale
2022,Ian Fritz,132,2,2,2-2,Hampstead
2022,Hunter Gundry,132,1,2,1-2,Raleigh
2022,Grant Reece,132,0,2,0-2,Banner Elk
2022,Elijah Murray,132,0,2,0-2,Mooresville
2022,Eliu Catalan,132,0,2,0-2,Louisburg
2022,Donovan Gunn,132,0,2,0-2,Hampstead
2022,Frank Bianco,138,2,2,2-2,Rolesville
2022,Noah Tocaben,138,0,2,0-2,Asheville
2022,Dylan Pepin,138,0,2,0-2,Greensoboro
2022,Miguel Catalan escamilla,138,0,2,0-2,Louisburg
2022,Ryan Mann,138,0,2,0-2,Tarboro
2022,Caleb Cox,138,0,2,0-2,Union Mills
2022,Tyler Tracy,145,3,2,3-2,Pittsboro
2022,Colin Lutz,145,2,2,2-2,Waxhaw
2022,Colt Campbell,145,0,2,0-2,Midland
2022,Jason Mcclellan,145,0,2,0-2,Canton
2022,Pete Winterstein,145,0,2,0-2,Clayton
2022,David Coptsias,145,0,2,0-2,Fayetteville
2022,Hunter Clark,145,1,2,1-2,Vale
2022,Thuy Dzu,145,0,2,0-2,Apex
2022,Cristopher Salgado mejia,145,0,2,0-2,Southport
2022,Logan Fite,152,2,2,2-2,Waxhaw
2022,James Weaver,152,0,2,0-2,Dallas
2022,Jacob Ed,152,0,2,0-2,Saluda
2022,Dylan Attridge,152,0,2,0-2,Oakridge
2022,Dallin Newcomer,152,0,2,0-2,Southern Pines
2022,Hunter Jones,152,0,2,0-2,Harrisburg
2022,Xander Hill,152,0,2,0-2,Canton
2022,Jayden Dobeck,160,2,2,2-2,West End
2022,Cameron Curva,160,0,2,0-2,Broadway
2022,Savoy New,170,1,2,1-2,Raleigh
2022,Dominic Blue,170,1,2,1-2,Laurinburg
2022,Kelvin Daniels,170,0,2,0-2,McLeansville
2022,Noah Staub,170,0,2,0-2,Lexington
2022,William Melton,170,0,2,0-2,Clayton
2022,Carson Wince,170,0,2,0-2,Shelby
2022,Elijah Brown,170,0,2,0-2,Fairview
2022,Nicholas Mascolino,182,4,2,4-2,Carthage
2022,Jackson Buck,182,2,1,2-1,Lumberton
2022,Alex Hopper,182,1,2,1-2,Wilmington
2022,Tre Wilfong,182,1,2,1-2,Matthews
2022,Hunter Testa,182,1,2,1-2,Mocksville
2022,Gavin Hardister,182,0,2,0-2,RANDLEMAN
2022,Andrew Kehoe,182,0,2,0-2,Hickory
2022,Seth Blackledge,182,0,2,0-2,Boone
2022,Tomas Brooker,195,2,2,2-2,Harrisburg
2022,Tayshaun Glover,195,1,2,1-2,Greensboro
2022,Trystan Richardson,195,0,2,0-2,Wilmington
2022,Matthew Cranfill,220,0,2,0-2,Conover
2022,Nathan Carnes,285,5,2,5-2,Indian Trail
2022,John Domencic,285,3,2,3-2,CARY
2022,Caleb Beaty,285,2,2,2-2,Clayton
2022,Daniel Karmanov,285,1,2,1-2,Holly Springs
