year,athlete_name,weight_class,wins,losses,record,city_from_source
2024,Liam Myles,106,2,2,2-2,Whispering Pines
2024,Brady Donovan,106,0,2,0-2,Harrisburg
2024,Adrian Feliciano,106,0,2,0-2,Davidson
2024,Holt Quincy,113,1,2,1-2,Tarboro
2024,Jordan Miller,113,1,2,1-2,Chapel Hill
2024,Liam Mcconaughy,113,0,2,0-2,Indian Trail
2024,Jekai Sedgwick,113,0,2,0-2,Raeford
2024,Michael Santoro,113,0,2,0-2,DAVIDSON
2024,Gabe Rogers,120,2,2,2-2,Chapel Hill
2024,Mac Johnson,120,1,2,1-2,Eastover
2024,Aiden White,120,1,2,1-2,Matthews
2024,Connor Dean,120,0,2,0-2,Fayetteville
2024,Quincy Cormier,120,0,2,0-2,Cary
2024,David Lambright,120,0,2,0-2,Asheboro
2024,Grant Mccord,126,3,2,3-2,Greensboro
2024,Tiaj Thao,126,1,2,1-2,Mocksville
2024,Sam Gosnell,126,0,2,0-2,Rutherfordton
2024,Davis Jones,126,0,2,0-2,Charlotte
2024,Aidan Szewczyk,126,0,2,0-2,Mocksville
2024,Elijah Dorsey,126,0,2,0-2,Brown Summit
2024,Ayden Sumners,126,0,2,0-2,Trinity
2024,Gabriel Jones,126,0,2,0-2,Pinnacle
2024,Adrian Fox,126,0,2,0-2,Forest City
2024,Kaden Helms,126,0,2,0-2,Denver
2024,Kyle Simpson,126,0,2,0-2,Monroe
2024,Cody Bui,126,0,2,0-2,Cornelius
2024,Eli Horton,132,5,2,5-2,Eden
2024,Liam Hickey,132,3,2,3-2,Raleigh
2024,Tyler Watt,132,1,2,1-2,Raleigh
2024,Harrison Landon,132,0,2,0-2,Matthews
2024,Hayden Smith,132,0,2,0-2,Jacksonville
2024,Colton Lewis,132,0,2,0-2,Tarboro
2024,Cayden Glass,132,0,2,0-2,Clemmons
2024,Max Davis,132,0,2,0-2,Jacksonville
2024,Miller Menteer,132,0,2,0-2,Moyock
2024,Bentley Sly,138,5,2,5-2,Cramerton
2024,Ryan Mann,138,2,2,2-2,Tarboro
2024,Kevin Obrien,138,2,2,2-2,Cleveland
2024,Maximus Brady,138,4,2,4-2,Lillington
2024,Corey Fazekas,138,1,2,1-2,Elizabeth City
2024,Till Helms,138,1,2,1-2,Denver
2024,King Orvosh,138,0,2,0-2,Newland
2024,Aiden Campbell,138,0,2,0-2,New Bern
2024,Maxwell Muse,138,0,2,0-2,Pfafftown
2024,Joshua Stonebraker,138,0,2,0-2,Cary
2024,Jaylen Bethea,138,0,2,0-2,Raeford
2024,Loxston Hooper,138,0,2,0-2,Robbinsville
2024,Aaron Ellison,138,0,2,0-2,Lumberton
2024,Gage Helms,138,0,2,0-2,Denver
2024,Spear Gorelick,138,0,2,0-2,Charlotte
2024,Tyton Kostoff,138,0,2,0-2,Huntersville
2024,Jackson Rowling,144,4,2,4-2,Davidson
2024,Nathaniel Askew iv,144,4,2,4-2,Chapel Hill
2024,Boedi Kirkland,144,2,2,2-2,Catawba
2024,Tobin Mcnair,144,2,2,2-2,Raleigh
2024,Ammon Scott,144,2,2,2-2,Belmont
2024,Carson Worrick,144,1,2,1-2,Glade Valley
2024,Donovan Edwards,144,2,2,2-2,High Point
2024,Samuel Gantt,144,1,2,1-2,Fayetteville
2024,Coy Deel,144,0,2,0-2,Cove City
2024,Beck Mcneer,144,0,2,0-2,Charlotte
2024,Jackson Walker,144,0,2,0-2,Holly Springs
2024,Gabriel Mumma,144,0,2,0-2,Morrisville
2024,Lorenzo Alston,150,2,2,2-2,Asheboro
2024,Mason Bentley,150,1,2,1-2,Newland
2024,Christopher Aparicio,150,1,2,1-2,Denver
2024,William Varner,150,1,2,1-2,Kings Mountain
2024,Jack Kancler,150,1,2,1-2,Fayetteville
2024,Lleyton Hooper,150,0,2,0-2,Robbinsville
2024,Asher Watson,150,0,2,0-2,Huntersville
2024,Cole Kenerley,150,0,2,0-2,Charlotte
2024,Hayden Snethen,150,0,2,0-2,Union mills
2024,Finn Mccafferty,157,2,2,2-2,Whispering Pines
2024,Caleb Cox,157,3,2,3-2,Union Mills
2024,Kenneth Pritz,157,1,2,1-2,Newland
2024,Graham Furtick,157,1,2,1-2,Matthews
2024,Santiago Ruiz diaz,157,0,2,0-2,Charlotte
2024,Mason Hollar,157,0,2,0-2,Granite Falls
2024,Seth Downing,157,0,2,0-2,Whitsett
2024,Ethan Powell,157,0,2,0-2,Franklinton
2024,James Weaver,157,0,2,0-2,Dallas
2024,Max Mcneer,157,0,2,0-2,Charlotte
2024,Dominic Blue,165,3,2,3-2,Laurinburg
2024,Jeremiah Johnson,165,1,2,1-2,Cary
2024,Lawson Coltrane,165,0,2,0-2,Archdale
2024,Troy Shannon,165,0,2,0-2,Fayetteville
2024,Jackson Fulcher,165,0,2,0-2,High Point
2024,Kyser Kostoff,175,4,2,4-2,Huntersville
2024,Colt Campbell,175,3,2,3-2,Midland
2024,Jack Harty,175,1,2,1-2,Greensboro
2024,Connor Ridgell,175,1,2,1-2,Boomer
2024,Noah Michael,175,1,2,1-2,Louisburg
2024,Fares Alkurdasi,175,0,2,0-2,Durham
2024,James Ellison,175,0,2,0-2,Lumberton
2024,Brock Sullivan,190,3,2,3-2,Whispering Pines
2024,Cael Dunn,190,3,2,3-2,Newland
2024,Dominic Hittepole,190,2,2,2-2,Trinity
2024,Sam Harper,190,1,2,1-2,Mooresville
2024,Luke Shipley,190,1,2,1-2,MATTHEWS
2024,Donovan Cavendar,190,0,2,0-2,Gastonia
2024,Hayden Haynes,215,3,2,3-2,Marion
2024,Matthew Gonzalez varela,215,0,2,0-2,Concord
2024,Ethan Kuball,215,0,2,0-2,Pittsboro
2024,Conrad Sherburne,215,0,2,0-2,RUTHERFORDTON
2024,Seth Walker,215,0,2,0-2,Forest city
2024,Damien Couture,285,3,2,3-2,Concord
2024,Everest Ouellette,285,1,2,1-2,Kitty Hawk
2024,Joseph Trahan,285,0,2,0-2,Trinity
2024,Sebastian Rivera,285,0,2,0-2,Morrisville
